"Industry Group ID","Number of Employees Midpoint PCI","Industry Group"
"6243",-1.1403349999,"Servicios de Capacitación para el Trabajo para Personas Desempleadas, Subempleadas o con Discapacidad"
"6244",0.1534907694,"Guarderías"
"7111",-1.7987853614,"Compañías y Grupos de Espectáculos Artísticos y Culturales"
"7112",0.6727621935,"Deportistas y Equipos Deportivos Profesionales"
"7113",-0.8854512121,"Promotores de Espectáculos Artísticos, Culturales, Deportivos y Similares"
"7114",-0.1508414849,"Agentes y Representantes de Artistas, Deportistas y Similares"
"7115",-1.4314707014,"Artistas, Escritores y Técnicos Independientes"
"7121",-1.0727088476,"Museos, Sitios Históricos, Zoológicos y Similares"
"7131",-1.2671742808,"Parques con Instalaciones Recreativas y Casas de Juegos Electrónicos"
"7132",-0.1383877531,"Casinos, Loterías y otros Juegos de Azar"
"7139",-0.0743909857,"Otros Servicios Recreativos"
"7211",-1.0701088885,"Hoteles, Moteles y Similares"
"7212",-0.9674735051,"Campamentos y Albergues Recreativos"
"7213",-1.5408087136,"Pensiones y Casas de Huéspedes, y Departamentos y Casas Amueblados con Servicios de Hotelería"
"7223",1.2020594979,"Servicios de Preparación de Alimentos por Encargo"
"7224",-1.1520469088,"Centros Nocturnos, Bares, Cantinas y Similares"
"7225",-1.5154386871,"Servicios de Preparación de Alimentos y Bebidas Alcohólicas y no Alcohólicas"
"8111",-0.7592725485,"Reparación y Mantenimiento de Automóviles y Camiones"
"8112",-1.1139273623,"Reparación y Mantenimiento de Equipo Electrónico y de Equipo de Precisión"
"8113",0.4465697131,"Reparación y Mantenimiento de Maquinaria y Equipo Agropecuario, Industrial, Comercial y de Servicios"
"8114",-1.3355600834,"Reparación y Mantenimiento de Artículos para el Hogar y Personales"
"8121",-1.1676482698,"Salones y Clínicas de Belleza, Baños Públicos y Bolerías"
"8122",-0.9112396259,"Lavanderías y Tintorerías"
"8123",-0.8668290128,"Servicios Funerarios y Administración de Cementerios"
"8124",-0.1471178852,"Estacionamientos y Pensiones para Vehículos Automotores"
"8129",0.4159311554,"Servicios de Revelado e Impresión de Fotografías y otros Servicios Personales"
"8131",-1.4739230209,"Asociaciones y Organizaciones Comerciales, Laborales, Profesionales y Recreativas"
"8132",-1.1290938424,"Asociaciones y Organizaciones Religiosas, Políticas y Civiles"
"9311",-0.9226294225,"Órganos Legislativos"
"9312",-1.6524479086,"Administración Pública en General"
"9313",-1.2159188674,"Regulación y Fomento del Desarrollo Económico"
"9314",-1.1603313214,"Impartición de Justicia y Mantenimiento de la Seguridad y el Orden Público"
"9315",-0.8427149434,"Regulación y Fomento de Actividades para Mejorar y Preservar el Medio Ambiente"
"9316",-1.2349102316,"Actividades Administrativas de Instituciones de Bienestar Social"
"9317",-0.0489794751,"Relaciones Exteriores"
"9318",-0.9157826787,"Actividades de Seguridad Nacional"
"9321",-0.8315852367,"Organismos Internacionales y Extraterritoriales"
